"original use","normalized use","remarks"
"& VFR ADZY SVC 0630-0800 & 1600-1700 M-F EXCP HOL",,
"(001-180)",,
"(781-769-3825)ATIS","ATIS","(781) 769-3825"
"(WHEN PHF ATCT CLSD)CD/P","CLDC","(WHEN PHF ATCT CLSD)"
"11AF RESCUE COORD CNTR","COORD CNTR","11AF RESCUE"
"375 AW COMD POST","CMD POST","375 AW"
"6 AMW COMD POST","CMD POST","6 AMW"
"AAS","AAS",
"ADVISORY","ADVISORY",
"ADVISORY/P","ADVISORY",
"ADVSY","ADVISORY",
"ADVY","ADVISORY",
"AFLD ADVISORY","ADVISORY",
"AFLD OPS ADVSY SVC","ADVISORY",
"AIR MOBILITY CTRL CNTR (CALL ""DENALI"")","CTRL CNTR","AIR MOBILITY (""DENALI"")"
"AIR-EVAC","AIR-EVAC",
"AIRSPACE ATIS","ATIS","AIRSPACE"
"ALCP(CONTRACT ACR ONLY)","ALCP","CONTRACT ACR ONLY"
"AMC COMD POST","CMD POST","AMC"
"AMC/ATOC","AMC/ATOC",
"ANG OPS","ANG OPS",
"ANG-OPNS","ANG OPS",
"APCH APP/P DEP/P","APP/DEP",
"APCH FINAL CTL","APP/DEP","FINAL CTL"
"APCH/DEP","APP/DEP",
"APCH/DEP P","APP/DEP",
"APCH/P","APP/DEP",
"APCH/P   DEP/P","APP/DEP",
"APCH/P  DEP/P","APP/DEP",
"APCH/P (S OF ORW)","APP/DEP","(S OF ORW)"
"APCH/P ABOVE 5000 FT","APP/DEP","ABOVE 5000 FT"
"APCH/P ABOVE 5000 FT.","APP/DEP","ABOVE 5000 FT"
"APCH/P AT OR BELOW 5000 FT.","APP/DEP","AT OR BELOW 5000 FT"
"APCH/P BASIC RADAR","APP/DEP",
"APCH/P BASIC RADAR IC","APP/DEP",
"APCH/P BASIC RADAR SVC","APP/DEP",
"APCH/P CD/P:","APP/DEP","CLDC"
"APCH/P CLASS B","APP/DEP","CLASS B"
"APCH/P CLASS B IC","APP/DEP","CLASS B"
"APCH/P CLASS C","APP/DEP","CLASS C"
"APCH/P CLASS C IC","APP/DEP","CLASS C"
"APCH/P DEP P IC","APP/DEP",
"APCH/P DEP/P","APP/DEP",
"APCH/P DEP/P  (6000 AND BELOW)","APP/DEP",
"APCH/P DEP/P BASIC RADAR","APP/DEP",
"APCH/P DEP/P BASIC RADAR CLASS C","APP/DEP","CLASS C"
"APCH/P DEP/P BASIC RADAR CLASS C IC","APP/DEP","CLASS C"
"APCH/P DEP/P BASIC RADAR IC","APP/DEP",
"APCH/P DEP/P BASIC RADAR SERVICE","APP/DEP",
"APCH/P DEP/P BASIC RADAR SVC","APP/DEP",
"APCH/P DEP/P BASIC RADAR SVC IC","APP/DEP",
"APCH/P DEP/P CD","APP/DEP","CLDC"
"APCH/P DEP/P CLASS B","APP/DEP","CLASS B"
"APCH/P DEP/P CLASS B IC","APP/DEP","CLASS B"
"APCH/P DEP/P CLASS C","APP/DEP","CLASS C"
"APCH/P DEP/P CLASS C IC","APP/DEP","CLASS C"
"APCH/P DEP/P CLASS C IC DEP/S","APP/DEP","CLASS C"
"APCH/P DEP/P CLASS IC","APP/DEP",
"APCH/P DEP/P IC","APP/DEP",
"APCH/P DEP/P IC BASIC RADAR SVC","APP/DEP",
"APCH/P DEP/P IC CLASS B","APP/DEP","CLASS B"
"APCH/P DEP/P IC RDR","APP/DEP",
"APCH/P DEP/P RDR","APP/DEP",
"APCH/P DEP/P STAGE III","APP/DEP","STAGE III"
"APCH/P DEP/P STAGE III IC","APP/DEP","STAGE III"
"APCH/P DEP/P STAGE-III","APP/DEP","STAGE III"
"APCH/P DEP/P STAGE-III  RDR","APP/DEP","STAGE III"
"APCH/P DEP/P STAGE-III IC","APP/DEP","STAGE III"
"APCH/P DEP/P TRSA","APP/DEP","TRSA"
"APCH/P DEP/P TRSA IC","APP/DEP","TRSA"
"APCH/P IC","APP/DEP",
"APCH/P RDR VFR ADZY","APP/DEP","VFR ADVISORY"
"APCH/PDEP/P","APP/DEP",
"APCH/S","APP/DEP","SECONDARY"
"APCH/S CLASS C","APP/DEP","SECONDARY, CLASS C"
"APCH/S DEP/S","APP/DEP","SECONDARY"
"APCH/S DEP/S BASIC RADAR SVC","APP/DEP","SECONDARY"
"APCH/S DEP/S CLASS C","APP/DEP","SECONDARY, CLASS C"
"APCH/S DEP/S STAGE-III","APP/DEP","SECONDARY, STAGE III"
"APCH/S RDR","APP/DEP","SECONDARY"
"APCH/S TWR/S","TWR","SECONDARY, ALSO APP"
"APP/DEP/P","APP/DEP",
"APP/P  DEP/P","APP/DEP",
"APP/P DEP/P","APP/DEP",
"AR-OPNS VFR-ADV","AR OPS","VFR ADVISORY"
"AR-OPS","AR OPS",
"ARMY NG OPS","ARMY OPS",
"ARMY-OPNS","ARMY OPS",
"ARNG OPS","ARNG OPS",
"ARNOLD OPS","ARNOLD OPS",
"ARR","APP/DEP","ARRIVAL"
"ARR/P","APP/DEP","ARRIVAL"
"ARRIVAL","APP/DEP","ARRIVAL"
"AS ASGND","AS ASSIGNED",
"AS ASSIGNED","AS ASSIGNED",
"ASR","ASR",
"ASR/PAR","ASR/PAR",
"ATIS","ATIS",
"ATIS (208-524-6048)","ATIS","(208) 524-6048"
"ATIS (310) 450-4620","ATIS","(310) 450-4620"
"ATIS (310) 675-7945","ATIS","(310) 675-7945"
"ATIS (425-355-9797)","ATIS","(425) 355-9797"
"ATIS (520)741-1177","ATIS","(520) 741-1177"
"ATIS (619) 661-0152","ATIS","(619) 661-0152"
"ATIS TWR/S","ATIS","ALSO SECONDARY TWR"
"ATIS(0700-2300)","ATIS","0700-2300"
"ATIS(209-982-4667)","ATIS","(209) 982-4667"
"ATIS(609-485-4444)","ATIS","(609) 485-4444"
"ATIS(616)336-4755","ATIS","(616) 336-4755"
"ATIS(860-246-5929)","ATIS","(860) 246-5929"
"ATIS(907-456-1244)","ATIS","(907) 456-1244"
"BASE OPNS","BASE OPS",
"BASE OPS","BASE OPS",
"BASIC RADAR","BASIC RADAR",
"BASIC RADAR SVC","BASIC RADAR",
"BASIC RDR SVC","BASIC RADAR",
"BOEING COMPANY","BOEING COMPANY",
"CD","CLDC","CD"
"CD PRE TAXI CLNC","CLDC","PRE TAXI CLNC"
"CD WHEN ATCT CLOSED","CLDC","(WHEN ATCT CLOSED)"
"CD/P","CLDC",
"CD/P (0600-2230)","CLDC","(0600-2230)"
"CD/P (2200-0600)","CLDC","(2200-0600)"
"CD/P (2230-2300)","CLDC","(2230-2300)"
"CD/P (WHEN ATCT CLSD)","CLDC","(WHEN ATCT CLSD)"
"CD/P (WHEN BEECH FACTORY ATCT CLSD)","CLDC","(WHEN BEECH FACTORY ATCT CLSD)"
"CD/P (WHEN LZU ATCT CLSD)","CLDC","(WHEN LZU ATCT CLSD)"
"CD/P (WHEN TWR CLSD)","CLDC","(WHEN TWR CLSD)"
"CD/P (WHEN UES ATCT CLSD)","CLDC","(WHEN UES ATCT CLSD)"
"CD/P APCH/P DEP/P","CLDC","ALSO APP/DEPP"
"CD/P GND/P","CLDC","ALSO GND"
"CD/P IC","CLDC","IC"
"CD/P PRE TAXI CLNC","CLDC","PRE-TAXI"
"CD/P PRE-TAXI CLNC","CLDC","PRE-TAXI"
"CD/P PRE-TAXI CLNC PRE-DEP CLNC","CLDC","PRE-TAXI"
"CD/P PTC","CLDC","PRE-TAXI"
"CD/P WHEN MVY ATCT CLSD","CLDC","WHEN MVY ATCT CLOSED"
"CD/P WHEN MVY ATCT CLSD.","CLDC","WHEN MVY ATCT CLOSED"
"CD/P(CTC YOUNGSTOWN ATCT)","CLDC","CONTACT YOUNGSTOWN TWR"
"CD/S","CLDC",
"CD/S (WHEN TWR CLSD)","CLDC","(WHEN TOWER CLOSED)"
"CD/S PTC/S","CLDC","ALSO SECONDARY PTC"
"CD/WHEN BI STATE TWR CLSD","CLDC","WHEN BI STATE TWR CLOSED"
"CD/WHEN CIVIC TWR CLSD","CLDC","WHEN CIVIC TWR CLOSED"
"CG-OPNS","CG OPS",
"CHEROKEE - MISSION","CHEROKEE – MISSION",
"CLASS B","CLASS B",
"CLASS B (NORTH)","CLASS B","NORTH"
"CLASS B (SOUTH)","CLASS B","SOUTH"
"CLASS B DEP/P","APP/DEP","CLASS B"
"CLASS B IC","CLASS B",
"CLASS B NE","CLASS B","(NE)"
"CLASS B NW","CLASS B","(NW)"
"CLASS B SE","CLASS B","(SE)"
"CLASS B SW","CLASS B","(SW)"
"CLASS B/S","CLASS B","SECONDARY"
"CLASS C","CLASS C","CLASS C"
"CLASS C /S","CLASS C","SECONDARY"
"CLASS C IC","CLASS C","CLASS C"
"CLASS C/S","CLASS C","SECONDARY"
"CLNC DEL","CLDC",
"CLNC DEL (WHEN TWR CLSD)","CLDC","(WHEN TOWER CLOSED)"
"CLNC DEL/P","CLDC",
"CLNC/DEL","CLDC",
"COMD OST","CMD POST",
"COMD POST","CMD POST",
"CP","CP",
"CTAF","CTAF",
"D-ATIS","ATIS","D-ATIS"
"D-ATIS ARR","ATIS","ARRIVAL D-ATIS"
"D-ATIS)","ATIS","D-ATIS"
"DEP S","APP/DEP","SECONDARY"
"DEP/P","APP/DEP",
"DEP/P BASIC RADAR","APP/DEP",
"DEP/P BASIC RADAR IC","APP/DEP",
"DEP/P CLASS B","APP/DEP","CLASS B"
"DEP/P CLASS B IC","APP/DEP","CLASS B"
"DEP/P CLASS C","APP/DEP","CLASS C"
"DEP/P CLASS C IC","APP/DEP","CLASS C"
"DEP/P IC","APP/DEP",
"DEP/P RY 27","APP/DEP","RY 27"
"DEP/S","APP/DEP",
"DEP/S RDR","APP/DEP",
"EAGLE CON","EAGLE CON",
"EMERG","EMERGENCY",
"EMERGENCY","EMERGENCY",
"FAA OPNS","FAA OPS",
"FINAL","APP/DEP","FINAL"
"FINAL APCH","APP/DEP","FINAL APCH"
"FINAL CTL","APP/DEP","FINAL CTL"
"FINAL RADAR 9/27","APP/DEP","FINAL RADAR 9/27"
"FINAL RYS 9L 9R 27L 27R","APP/DEP","FINAL RYS 9L 9R 27L 27R"
"FINAL VECTOR","APP/DEP","FINAL VECTOR"
"FINAL-APCH","APP/DEP","FINAL APCH"
"FINAL-APCH IC","APP/DEP","FINAL APCH"
"FINAL-CTL IC","APP/DEP","FINAL CTL IC"
"FLIGHT TEST","FLIGHT TEST",
"FLT ADVSY","ADVISORY","FLT ADVISORY"
"FLT FLWG (ALL FLTS CTC POLK APCH 30 NM OUT.)","FLT FLWG","(ALL FLTS CTC POLK APCH 30 NM OUT.)"
"FS","FS",
"GATE CTL","GATE CTL",
"GATE HOLD","GATE HOLD",
"GCA","GCA",
"GND","GND",
"GND ADZY","GND","ADVISORY"
"GND CLNC DEL","CLDC","ALSO GND"
"GND CON","GND","CON"
"GND CON CENTER (INBOUND)","GND","CON CENTER (INBOUND)"
"GND CON CENTER (OUTBOUND)","GND","CON CENTER (OUTBOUND)"
