original use,new use,remarks
& VFR ADZY SVC 0630-0800 & 1600-1700 M-F EXCP HOL,OTHER,VFR ADZY SVC 0630-0800 & 1600-1700 M-F EXCP HOL
(001-180),OTHER,(001-180)
(781-769-3825)ATIS,ATIS,(781-769-3825)
(WHEN PHF ATCT CLSD)CD/P,CLDC,(WHEN PHF ATCT CLSD)CD/P
11AF RESCUE COORD CNTR,OTHER,11AF RESCUE COORD CNTR
375 AW COMD POST,OTHER,375 AW COMD POST
6 AMW COMD POST,OTHER,6 AMW COMD POST
AAS,OTHER,AAS
ADVISORY,OTHER,ADVISORY
ADVISORY/P,OTHER,ADVISORY/P
ADVSY,OTHER,ADVSY
ADVY,OTHER,ADVY
AFLD ADVISORY,OTHER,AFLD ADVISORY
AFLD OPS ADVSY SVC,OTHER,AFLD OPS ADVSY SVC
"AIR MOBILITY CTRL CNTR (CALL ""DENALI"")",OTHER,"AIR MOBILITY CTRL CNTR (CALL ""DENALI"")"
AIR-EVAC,OTHER,AIR-EVAC
AIRSPACE ATIS,ATIS,AIRSPACE
ALCP(CONTRACT ACR ONLY),OTHER,ALCP(CONTRACT ACR ONLY)
AMC COMD POST,OTHER,AMC COMD POST
AMC/ATOC,OTHER,AMC/ATOC
ANG OPS,OTHER,ANG OPS
ANG-OPNS,OTHER,ANG-OPNS
APCH APP/P DEP/P,APP/DEP,APP/P DEP/P
APCH FINAL CTL,APP/DEP,FINAL CTL
APCH/DEP,APP/DEP,APCH/DEP
APCH/DEP P,APP/DEP,APCH/DEP P
APCH/P,APP/DEP,APCH/P
APCH/P   DEP/P,APP/DEP,APCH/P   DEP/P
APCH/P  DEP/P,APP/DEP,APCH/P  DEP/P
APCH/P (S OF ORW),APP/DEP,(S OF ORW)
APCH/P ABOVE 5000 FT,APP/DEP,ABOVE 5000 FT
APCH/P ABOVE 5000 FT.,APP/DEP,ABOVE 5000 FT
APCH/P AT OR BELOW 5000 FT.,APP/DEP,AT OR BELOW 5000 FT.
APCH/P BASIC RADAR,APP/DEP,BASIC RADAR
APCH/P BASIC RADAR IC,APP/DEP,BASIC RADAR IC
APCH/P BASIC RADAR SVC,APP/DEP,BASIC RADAR SVC
APCH/P CD/P:,APP/DEP,CD/P:
APCH/P CLASS B,APP/DEP,CLASS B
APCH/P CLASS B IC,APP/DEP,CLASS B IC
APCH/P CLASS C,APP/DEP,CLASS C
APCH/P CLASS C IC,APP/DEP,CLASS C IC
APCH/P DEP P IC,APP/DEP,DEP P IC
APCH/P DEP/P,APP/DEP,DEP/P
APCH/P DEP/P  (6000 AND BELOW),APP/DEP,(6000 AND BELOW)
APCH/P DEP/P BASIC RADAR,APP/DEP,BASIC RADAR
APCH/P DEP/P BASIC RADAR CLASS C,APP/DEP,BASIC RADAR CLASS C
APCH/P DEP/P BASIC RADAR CLASS C IC,APP/DEP,BASIC RADAR CLASS C IC
APCH/P DEP/P BASIC RADAR IC,APP/DEP,BASIC RADAR IC
APCH/P DEP/P BASIC RADAR SERVICE,APP/DEP,BASIC RADAR SERVICE
APCH/P DEP/P BASIC RADAR SVC,APP/DEP,BASIC RADAR SVC
APCH/P DEP/P BASIC RADAR SVC IC,APP/DEP,BASIC RADAR SVC IC
APCH/P DEP/P CD,APP/DEP,CD
APCH/P DEP/P CLASS B,APP/DEP,CLASS B
